xItem,Price (GBP),Price (USD),Link
Stab Lube,1.52,2.05,https://www.aliexpress.com/item/1005008432501049.html
Keycaps,7.41,10.00,https://www.aliexpress.com/item/1005006922735195.html
Stabilisers (Stabs),6.39,8.63,https://www.aliexpress.com/item/32719735398.html
Copper Wick,1.25,1.69,https://www.aliexpress.com/item/1005007589879020.html
Grip Tape,2.66,3.59,https://www.aliexpress.com/item/1005008164935173.html
Super Glue,2.75,3.71,https://www.aliexpress.com/item/1005008583356354.html
Hex Nuts,0.82,1.11,https://www.aliexpress.com/item/4000602853448.html
Switches (x5),2.55,3.44,https://www.aliexpress.com/item/1005006578935785.html
Diodes (x4),2.84,3.83,https://www.aliexpress.com/item/1005006245109375.html
Rubber O-Rings,0.58,0.78,https://www.aliexpress.com/item/32965363255.html
Switch Pads,2.54,3.43,https://www.aliexpress.com/item/1005006454684461.html
Rotary Encoders,1.90,2.57,https://www.aliexpress.com/item/1005005983134515.html
Flux,4.09,5.52,https://www.aliexpress.com/item/1005006588523672.html
Switch Film,2.01,2.71,https://www.aliexpress.com/item/1005006584258877.html
Hex Screws,7.44,10.04,https://www.aliexpress.com/item/1005004833667162.html
Rotary Encoder Caps,1.06,1.43,https://www.aliexpress.com/item/1005005983134515.html
Raspberry Pi Pico,2.08,2.81,https://www.aliexpress.com/item/1005008513003531.html
USB Cable (Micro),0.93,1.26,https://www.aliexpress.com/item/1005007138392516.html
AliExpress Items Total,62.03,82.74,
JLCPCB PCB,46.27,62.46,jlcpcb.com
Royal Mail Shipping,3.35,4.52,royalmail.com
PCB + Shipping Total,49.62,66.98,
Grand Total,111.65,150.72 (+ -1$),
